"year","month","vehicle","volume"
2010,4,"Truck",105241
2010,5,"Auto",399790
2010,5,"Truck",103058
2010,6,"Auto",409490
2010,6,"Truck",110318
2010,7,"Auto",545060
2010,7,"Truck",99669
2010,8,"Auto",566808
2010,8,"Truck",105714
2010,9,"Auto",413964
2010,9,"Truck",106173
2010,10,"Auto",408755
2010,10,"Truck",103948
2010,11,"Auto",371695
2010,11,"Truck",102686
2010,12,"Auto",358168
2010,12,"Truck",90549
2011,1,"Auto",302397
2011,1,"Truck",96948
2011,2,"Auto",286394
2011,2,"Truck",94559
2011,3,"Auto",356151
2011,3,"Truck",114035
2011,4,"Auto",368766
2011,4,"Truck",102945
2011,5,"Auto",398162
2011,5,"Truck",107153
2011,6,"Auto",423468
2011,6,"Truck",111974
2011,7,"Auto",555424
2011,7,"Truck",97624
2011,8,"Auto",550781
2011,8,"Truck",111243
2011,9,"Auto",420605
2011,9,"Truck",108028
2011,10,"Auto",394860
2011,10,"Truck",107203
2011,11,"Auto",365694
2011,11,"Truck",105827
2011,12,"Auto",370190
2011,12,"Truck",94992
2012,1,"Auto",299506
2012,1,"Truck",103729
2012,2,"Auto",308256
2012,2,"Truck",101690
2012,3,"Auto",382187
2012,3,"Truck",109560
2012,4,"Auto",363436
2012,4,"Truck",106869
2012,5,"Auto",392374
2012,5,"Truck",113848
2012,6,"Auto",432205
2012,6,"Truck",108999
2012,7,"Auto",533490
2012,7,"Truck",103434
2012,8,"Auto",560716
2012,8,"Truck",110796
2012,9,"Auto",406082
2012,9,"Truck",102011
2012,10,"Auto",381859
2012,10,"Truck",109994
2012,11,"Auto",352821
2012,11,"Truck",105786
2012,12,"Auto",353010
2012,12,"Truck",88629
2013,1,"Auto",296909
2013,1,"Truck",105022
2013,2,"Auto",290267
2013,2,"Truck",95983
2013,3,"Auto",381924
2013,3,"Truck",100339
2013,4,"Auto",353233
2013,4,"Truck",108164
2013,5,"Auto",398630
2013,5,"Truck",111790
2013,6,"Auto",423640
2013,6,"Truck",103845
2013,7,"Auto",518650
2013,7,"Truck",104517
2013,8,"Auto",545258
2013,8,"Truck",106648
2013,9,"Auto",395486
2013,9,"Truck",104135
2013,10,"Auto",381943
2013,10,"Truck",112654
2013,11,"Auto",350533
2013,11,"Truck",100465
2013,12,"Auto",335995
2013,12,"Truck",91410
2014,1,"Auto",268798
2014,1,"Truck",101230
2014,2,"Auto",268335
2014,2,"Truck",96411
2014,3,"Auto",337526
2014,3,"Truck",104746
2014,4,"Auto",333975
2014,4,"Truck",108486
2014,5,"Auto",375665
2014,5,"Truck",110778
2014,6,"Auto",403800
2014,6,"Truck",108833
2014,7,"Auto",486588
2014,7,"Truck",108711
2014,8,"Auto",530103
2014,8,"Truck",103279
2014,9,"Auto",367225
2014,9,"Truck",111544
2014,10,"Auto",371490
2014,10,"Truck",112620
2014,11,"Auto",294927
2014,11,"Truck",84699
2014,12,"Auto",319950
2014,12,"Truck",99151
2015,1,"Auto",259303
2015,1,"Truck",97928
2015,2,"Auto",235563
2015,2,"Truck",93181
2015,3,"Auto",319598
2015,3,"Truck",109337
2015,4,"Auto",312523
2015,4,"Truck",105214
2015,5,"Auto",358450
2015,5,"Truck",102996
2015,6,"Auto",377003
2015,6,"Truck",107919
2015,7,"Auto",490676
2015,7,"Truck",102091
2015,8,"Auto",498765
2015,8,"Truck",99805
2015,9,"Auto",372872
2015,9,"Truck",104027
2015,10,"Auto",350307
2015,10,"Truck",107546
2015,11,"Auto",299275
2015,11,"Truck",102063
2015,12,"Auto",299054
2015,12,"Truck",96854
2016,1,"Auto",254478
2016,1,"Truck",96960
2016,2,"Auto",235948
2016,2,"Truck",99784
2016,3,"Auto",312173
2016,3,"Truck",109694
2016,4,"Auto",290836
2016,4,"Truck",103364
2016,5,"Auto",351961
2016,5,"Truck",103637
2016,6,"Auto",378605
2016,6,"Truck",106242
2016,7,"Auto",491212
2016,7,"Truck",95007
2016,8,"Auto",489464
2016,8,"Truck",106565
2016,9,"Auto",371937
2016,9,"Truck",101848
2016,10,"Auto",353468
2016,10,"Truck",99975
2016,11,"Auto",294274
2016,11,"Truck",100252
2016,12,"Auto",290461
2016,12,"Truck",89071
2017,1,"Auto",253984
2017,1,"Truck",95296
2017,2,"Auto",241575
2017,2,"Truck",89542
2017,3,"Auto",289311
2017,3,"Truck",103646
2017,4,"Auto",311527
2017,4,"Truck",93966
2017,5,"Auto",327653
2017,5,"Truck",104567
2017,6,"Auto",374119
2017,6,"Truck",103578
2017,7,"Auto",491081
2017,7,"Truck",91468
2017,8,"Auto",493397
2017,8,"Truck",104374
2017,9,"Auto",378581
2017,9,"Truck",95947
2017,10,"Auto",356159
2017,10,"Truck",101835
2017,11,"Auto",302673
2017,11,"Truck",96287
2017,12,"Auto",311944
2017,12,"Truck",82522
2018,1,"Auto",257991
2018,1,"Truck",94311
2018,2,"Auto",244774
2018,2,"Truck",89952
2018,3,"Auto",330559
2018,3,"Truck",101103
2018,4,"Auto",293333
2018,4,"Truck",99353
2018,5,"Auto",346353
2018,5,"Truck",102824
2018,6,"Auto",391251
2018,6,"Truck",97073
2018,7,"Auto",486692
2018,7,"Truck",92694
2018,8,"Auto",498710
2018,8,"Truck",96310
2018,9,"Auto",356550
2018,9,"Truck",89173
2018,10,"Auto",332091
2018,10,"Truck",100711
2018,11,"Auto",286525
2018,11,"Truck",92763
2018,12,"Auto",298451
2018,12,"Truck",80419
2019,1,"Auto",224373
2019,1,"Truck",85577
2019,2,"Auto",228205
2019,2,"Truck",83685
2019,3,"Auto",306549
2019,3,"Truck",92644
2019,4,"Auto",298418
2019,4,"Truck",91387
2019,5,"Auto",336486
2019,5,"Truck",95458
2019,6,"Auto",382355
2019,6,"Truck",89043
2019,7,"Auto",470261
2019,7,"Truck",90983
2019,8,"Auto",505191
2019,8,"Truck",92337
2019,9,"Auto",355470
2019,9,"Truck",91609
2019,10,"Auto",340588
2019,10,"Truck",96796
2019,11,"Auto",293704
2019,11,"Truck",84996
2019,12,"Auto",291012
2019,12,"Truck",78755
2020,1,"Auto",249525
2020,1,"Truck",89486
2020,2,"Auto",246415
2020,2,"Truck",86518
2020,3,"Auto",157248
2020,3,"Truck",88182
2020,4,"Auto",15043
2020,4,"Truck",68709
2020,5,"Auto",17798
2020,5,"Truck",70515
2020,6,"Auto",23958
2020,6,"Truck",83949
2020,7,"Auto",26168
2020,7,"Truck",86001
2020,8,"Auto",28710
2020,8,"Truck",86748
2020,9,"Auto",29275
2020,9,"Truck",91310
2020,10,"Auto",30233
2020,10,"Truck",93559
2020,11,"Auto",27031
2020,11,"Truck",88310
2020,12,"Auto",26748
2020,12,"Truck",85051
2021,1,"Auto",26218
2021,1,"Truck",84625
2021,2,"Auto",24644
2021,2,"Truck",83354
2021,3,"Auto",32169
2021,3,"Truck",102238
2021,4,"Auto",35463
2021,4,"Truck",92806
2021,5,"Auto",42965
2021,5,"Truck",92251
2021,6,"Auto",43384
2021,6,"Truck",96451
2021,7,"Auto",46034
2021,7,"Truck",90987
2021,8,"Auto",76821
2021,8,"Truck",95971
2021,9,"Auto",78021
2021,9,"Truck",96927
2021,10,"Auto",75164
2021,10,"Truck",96364
2021,11,"Auto",92565
2021,11,"Truck",92435
2021,12,"Auto",109331
2021,12,"Truck",86698
2022,1,"Auto",65953
2022,1,"Truck",81259
2022,2,"Auto",66634
2022,2,"Truck",80466
2022,3,"Auto",116065
2022,3,"Truck",98457
2022,4,"Auto",169355
2022,4,"Truck",91968
2022,5,"Auto",190368
2022,5,"Truck",93592
2022,6,"Auto",211173
2022,6,"Truck",96367
2022,7,"Auto",276896
2022,7,"Truck",87436
2022,8,"Auto",278753
2022,8,"Truck",97442
2022,9,"Auto",232742
2022,9,"Truck",93178
2022,10,"Auto",250333
2022,10,"Truck",91800
2022,11,"Auto",196567
2022,11,"Truck",86576
2022,12,"Auto",180676
2022,12,"Truck",74752
