"name","year","month","day","lat","long","status","category","wind","pressure"
"AL092000",2000,"Sep",8,28,-93.5,"tropical depression","-1",30,1008
"Isaac",2000,"Sep",28,26.6,-54.2,"hurricane","4",120,943
"Joyce",2000,"Sep",28,12.2,-42.5,"hurricane","1",80,975
"Keith",2000,"Oct",1,17.9,-87.2,"hurricane","4",120,941
"AL022001",2001,"Jul",11,10.9,-42.1,"tropical depression","-1",25,1011
"Erin",2001,"Sep",9,32.4,-62.8,"hurricane","3",105,968
"AL092001",2001,"Sep",19,13.4,-81.9,"tropical depression","-1",30,1008
"Iris",2001,"Oct",9,16.5,-88,"hurricane","4",125,948
"Karen",2001,"Oct",14,38.6,-63.7,"hurricane","1",70,982
"Michelle",2001,"Nov",4,20.1,-83.3,"hurricane","4",120,944
"Olga",2001,"Nov",27,32.6,-57,"hurricane","1",80,973
"AL072002",2002,"Sep",7,24.3,-47.5,"tropical depression","-1",30,1013
"Isidore",2002,"Sep",21,21.9,-86.1,"hurricane","3",110,946
"Kyle",2002,"Sep",26,27.9,-58.3,"hurricane","1",75,982
"Lili",2002,"Oct",2,25.9,-89.9,"hurricane","4",125,938
"AL142002",2002,"Oct",14,16.9,-82.6,"tropical depression","-1",30,1008
"AL022003",2003,"Jun",11,9.5,-40.8,"tropical depression","-1",30,1009
"AL062003",2003,"Jul",19,12.3,-43.5,"tropical depression","-1",30,1010
"AL072003",2003,"Jul",26,30.7,-80.8,"tropical depression","-1",30,1016
"AL092003",2003,"Aug",21,14.5,-65.5,"tropical depression","-1",30,1009
"Fabian",2003,"Sep",1,19,-57.3,"hurricane","4",125,944
"AL142003",2003,"Sep",9,12.4,-24.4,"tropical depression","-1",30,1007
"Isabel",2003,"Sep",11,21.5,-54.8,"hurricane","5",145,915
"Juan",2003,"Sep",27,35.5,-63.2,"hurricane","2",90,969
"Larry",2003,"Oct",3,20.5,-94,"tropical storm","0",55,993
"Kate",2003,"Oct",4,30.2,-54,"hurricane","3",110,952
"Mindy",2003,"Oct",10,19.1,-68.8,"tropical storm","0",40,1004
"Nicholas",2003,"Oct",17,15.5,-48,"tropical storm","0",60,990
"Odette",2003,"Dec",6,15.9,-72.5,"tropical storm","0",55,995
"Peter",2003,"Dec",9,21,-37,"tropical storm","0",60,990
"Alex",2004,"Aug",5,38.5,-66,"hurricane","3",105,957
"Charley",2004,"Aug",13,26.6,-82.2,"hurricane","4",130,941
"AL102004",2004,"Sep",9,35.3,-35,"tropical depression","-1",30,1012
"Ivan",2004,"Sep",11,18,-79,"hurricane","5",145,920
"Karl",2004,"Sep",21,19.6,-47.3,"hurricane","4",125,938
"Jeanne",2004,"Sep",25,26.9,-78.2,"hurricane","3",105,952
"Emily",2005,"Jul",17,17.1,-79.5,"hurricane","5",140,929
"Ten",2005,"Aug",13,13.8,-44.7,"tropical depression","-1",30,1008
"Katrina",2005,"Aug",28,26.3,-88.6,"hurricane","5",150,902
"Nate",2005,"Sep",9,32.6,-61.1,"hurricane","1",80,979
"Rita",2005,"Sep",22,24.7,-87.3,"hurricane","5",155,895
"Nineteen",2005,"Sep",30,12.2,-33,"tropical depression","-1",30,1007
"Stan",2005,"Oct",4,18.6,-94.9,"hurricane","1",70,977
"Tammy",2005,"Oct",5,29.5,-80.9,"tropical storm","0",45,1001
"Vince",2005,"Oct",9,34.1,-18.9,"hurricane","1",65,988
"Wilma",2005,"Oct",19,17.3,-82.8,"hurricane","5",160,882
"Beta",2005,"Oct",30,13.3,-83.1,"hurricane","3",100,962
"AL022006",2006,"Jul",17,41.1,-63.7,"tropical storm","0",45,998
"Gordon",2006,"Sep",14,27.3,-57.4,"hurricane","3",105,955
"Dean",2007,"Aug",21,18.6,-86.9,"hurricane","5",150,907
"Felix",2007,"Sep",3,13.8,-73,"hurricane","5",150,935
"Fifteen",2007,"Oct",11,29.5,-52.6,"tropical depression","-1",30,1011
"Noel",2007,"Nov",2,26.4,-76.5,"hurricane","1",70,981
"Gustav",2008,"Aug",30,22.4,-83.1,"hurricane","4",135,941
"Ike",2008,"Sep",4,22.4,-55,"hurricane","4",125,935
"Sixteen",2008,"Oct",14,15.5,-82.8,"tropical depression","-1",25,1004
"Omar",2008,"Oct",16,18.2,-63.9,"hurricane","4",115,958
"Paloma",2008,"Nov",8,19.8,-79.6,"hurricane","4",125,944
"One",2009,"May",28,37.5,-70.3,"tropical depression","-1",30,1006
"Bill",2009,"Aug",19,17.6,-54.2,"hurricane","4",115,954
"Fred",2009,"Sep",9,13.6,-32.1,"hurricane","3",105,958
"Eight",2009,"Sep",25,16.1,-31.1,"tropical depression","-1",30,1008
"Ida",2009,"Nov",9,23,-86.5,"hurricane","2",90,979
"Two",2010,"Jul",8,23.7,-93.7,"tropical depression","-1",30,1005
"Colin",2010,"Aug",5,25,-66.1,"tropical storm","0",50,1005
"Five",2010,"Aug",10,25.9,-83.7,"tropical depression","-1",30,1008
"Danielle",2010,"Aug",27,27.1,-60.1,"hurricane","4",115,942
"Fiona",2010,"Sep",1,19.5,-62.5,"tropical storm","0",55,999
"Igor",2010,"Sep",15,18.9,-53.5,"hurricane","4",135,924
"Julia",2010,"Sep",15,17.7,-32.2,"hurricane","4",120,948
"Lisa",2010,"Sep",25,20.4,-27.8,"hurricane","1",75,982
"Paula",2010,"Oct",12,18.8,-85.9,"hurricane","2",90,981
"Richard",2010,"Oct",25,17.2,-88.2,"hurricane","2",85,977
"Shary",2010,"Oct",30,31.3,-64,"hurricane","1",65,990
"Tomas",2010,"Oct",30,13.4,-61.2,"hurricane","2",85,987
"Don",2011,"Jul",29,24.6,-91.9,"tropical storm","0",45,997
"Al202011",2011,"Sep",1,37.4,-63.7,"tropical storm","0",40,1004
"Katia",2011,"Sep",6,25.6,-64,"hurricane","4",120,942
"Ophelia",2011,"Oct",2,32.8,-62.5,"hurricane","4",120,940
"Philippe",2011,"Oct",6,28.2,-59.7,"hurricane","1",80,977
"Rina",2011,"Oct",25,17.3,-84.2,"hurricane","3",100,971
"Sean",2011,"Nov",9,27.9,-70.4,"tropical storm","0",55,994
"Ernesto",2012,"Aug",8,18.8,-87.7,"hurricane","2",85,973
"Kirk",2012,"Aug",31,29.6,-50.7,"hurricane","2",90,970
"Nadine",2012,"Sep",30,36.8,-38.3,"hurricane","1",80,978
"Patty",2012,"Oct",12,25.5,-72.4,"tropical storm","0",40,1005
"Rafael",2012,"Oct",16,24.6,-65.6,"hurricane","1",80,974
"Tony",2012,"Oct",24,27.9,-46.8,"tropical storm","0",45,1000
"Sandy",2012,"Oct",25,20,-76,"hurricane","3",100,954
"Andrea",2013,"Jun",6,27.8,-84.9,"tropical storm","0",55,995
"Fernand",2013,"Aug",26,19.2,-95.9,"tropical storm","0",50,1001
"Ingrid",2013,"Sep",15,21.6,-94.7,"hurricane","1",75,983
"Melissa",2013,"Nov",21,39.9,-36.6,"tropical storm","0",55,980
"Arthur",2014,"Jul",4,34,-77.3,"hurricane","2",85,975
"Cristobal",2014,"Aug",28,37.5,-63.6,"hurricane","1",75,971
"Fay",2014,"Oct",12,32.3,-64.7,"hurricane","1",70,984
"Gonzalo",2014,"Oct",16,25.6,-68.7,"hurricane","4",125,940
"Danny",2015,"Aug",21,13.8,-47.8,"hurricane","3",110,960
"Nine",2015,"Sep",17,15.6,-45,"tropical depression","-1",30,1006
"Joaquin",2015,"Oct",3,25.4,-72.6,"hurricane","4",135,934
"Gaston",2016,"Aug",29,30.6,-55.2,"hurricane","3",105,955
"Hermine",2016,"Sep",2,29,-84.8,"hurricane","1",70,983
"Ian",2016,"Sep",16,44,-42.8,"tropical storm","0",50,994
"Matthew",2016,"Oct",1,13.4,-71.9,"hurricane","5",145,942
"Nicole",2016,"Oct",13,30.6,-66.2,"hurricane","4",120,950
"Otto",2016,"Nov",24,11,-83,"hurricane","3",100,975
"Four",2017,"Jul",5,12,-37.1,"tropical depression","-1",25,1010
"Franklin",2017,"Aug",10,20.3,-95.5,"hurricane","1",75,981
"Maria",2017,"Sep",20,17,-64.3,"hurricane","5",150,909
"Lee",2017,"Sep",27,30.3,-56.6,"hurricane","3",100,963
"Beryl",2018,"Jul",6,10.5,-44.6,"hurricane","1",70,991
"Chris",2018,"Jul",11,33.9,-71.9,"hurricane","2",90,969
"Eleven",2018,"Sep",21,12.9,-52.5,"tropical depression","-1",30,1008
"Michael",2018,"Oct",10,30,-85.5,"hurricane","5",140,919
"Leslie",2018,"Oct",12,30.4,-35.2,"hurricane","1",80,968
"Oscar",2018,"Oct",30,27,-58.5,"hurricane","2",95,966
"Three",2019,"Jul",23,26.9,-79.6,"tropical depression","-1",30,1013
"Dorian",2019,"Sep",1,26.5,-77,"hurricane","5",160,910
"Imelda",2019,"Sep",17,28.9,-95.4,"tropical storm","0",40,1003
"Humberto",2019,"Sep",18,32.5,-67.2,"hurricane","3",110,950
"Jerry",2019,"Sep",20,17.7,-56.6,"hurricane","2",90,976
"Lorenzo",2019,"Sep",29,24.3,-45,"hurricane","5",140,925
"Nestor",2019,"Oct",18,26.4,-89.4,"tropical storm","0",50,1000
"Pablo",2019,"Oct",27,44.1,-17.3,"hurricane","1",70,977
"Sebastien",2019,"Nov",23,26.7,-52.6,"tropical storm","0",60,991
"Hanna",2020,"Jul",25,26.9,-96.8,"hurricane","1",80,973
"Isaias",2020,"Aug",4,32.8,-79.1,"hurricane","1",80,986
"Rene",2020,"Sep",10,18.4,-35.3,"tropical storm","0",40,1002
"Paulette",2020,"Sep",14,33.9,-64.4,"hurricane","2",90,965
"Vicky",2020,"Sep",14,19,-29.1,"tropical storm","0",45,1002
"Sally",2020,"Sep",16,29.9,-87.9,"hurricane","2",95,967
"Wilfred",2020,"Sep",17,10.8,-28.1,"tropical storm","0",35,1007
"Teddy",2020,"Sep",18,20.4,-54.4,"hurricane","4",120,945
"Gamma",2020,"Oct",3,20.2,-87.4,"hurricane","1",65,978
"Epsilon",2020,"Oct",21,29.3,-59.6,"hurricane","3",100,955
"Zeta",2020,"Oct",28,29.2,-90.6,"hurricane","3",100,970
"Eta",2020,"Nov",3,14.3,-82.5,"hurricane","4",130,929
"Theta",2020,"Nov",10,29,-36.7,"tropical storm","0",60,987
"Iota",2020,"Nov",16,13.5,-81.5,"hurricane","4",135,917
