specimen,tooth_class,num_amtl,sockets,prop_lost,age,prob_male,genus,pop
AMNH99.1/72,Anterior,0,12,0,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/72,Posterior,1,11,0.090909090909091,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/72,Premolar,0,8,0,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/75-A,Anterior,0,12,0,31.3690097,0.75,Homo sapiens,Alaska
AMNH99.1/75-A,Posterior,0,12,0,31.3690097,0.75,Homo sapiens,Alaska
AMNH99.1/75-A,Premolar,0,8,0,31.3690097,0.75,Homo sapiens,Alaska
AMNH99.1/77,Anterior,0,12,0,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/77,Posterior,4,11,0.363636363636364,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/77,Premolar,0,8,0,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/79,Anterior,0,6,0,39.4,0.25,Homo sapiens,Alaska
AMNH99.1/79,Posterior,2,6,0.333333333333333,39.4,0.25,Homo sapiens,Alaska
AMNH99.1/79,Premolar,0,4,0,39.4,0.25,Homo sapiens,Alaska
AMNH99.1/80(a),Anterior,0,6,0,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/80(a),Posterior,0,6,0,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/80(a),Premolar,1,4,0.25,46.1073874,0.75,Homo sapiens,Alaska
AMNH99.1/80(b),Anterior,0,6,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/80(b),Posterior,0,5,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/80(b),Premolar,0,4,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/83-A,Anterior,3,12,0.25,32.0178426,0.25,Homo sapiens,Alaska
AMNH99.1/83-A,Posterior,2,10,0.2,32.0178426,0.25,Homo sapiens,Alaska
AMNH99.1/83-A,Premolar,2,8,0.25,32.0178426,0.25,Homo sapiens,Alaska
AMNH99.1/84-A,Anterior,0,12,0,30.7794746,0.25,Homo sapiens,Alaska
AMNH99.1/84-A,Posterior,0,12,0,30.7794746,0.25,Homo sapiens,Alaska
AMNH99.1/84-A,Premolar,0,8,0,30.7794746,0.25,Homo sapiens,Alaska
AMNH99.1/84-B,Anterior,4,12,0.333333333333333,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/84-B,Posterior,6,8,0.75,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/84-B,Premolar,2,8,0.25,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/84-C,Anterior,3,6,0.5,46.1073874,0.25,Homo sapiens,Alaska
AMNH99.1/84-C,Posterior,0,6,0,46.1073874,0.25,Homo sapiens,Alaska
AMNH99.1/84-C,Premolar,0,4,0,46.1073874,0.25,Homo sapiens,Alaska
AMNH99.1/84-D,Anterior,0,6,0,33.137615,0.25,Homo sapiens,Alaska
AMNH99.1/84-D,Posterior,0,6,0,33.137615,0.25,Homo sapiens,Alaska
AMNH99.1/84-D,Premolar,0,4,0,33.137615,0.25,Homo sapiens,Alaska
AMNH99.1/86-C,Anterior,2,12,0.166666666666667,47.2736416,0.25,Homo sapiens,Alaska
AMNH99.1/86-C,Posterior,1,11,0.090909090909091,47.2736416,0.25,Homo sapiens,Alaska
AMNH99.1/86-C,Premolar,2,8,0.25,47.2736416,0.25,Homo sapiens,Alaska
AMNH99.1/86-D,Anterior,4,12,0.333333333333333,50.8236683,0.25,Homo sapiens,Alaska
AMNH99.1/86-D,Posterior,2,8,0.25,50.8236683,0.25,Homo sapiens,Alaska
AMNH99.1/86-D,Premolar,3,8,0.375,50.8236683,0.25,Homo sapiens,Alaska
AMNH99.1/87,Anterior,2,12,0.166666666666667,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/87,Posterior,4,9,0.444444444444444,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/87,Premolar,2,8,0.25,45.2,0.75,Homo sapiens,Alaska
AMNH99.1/89-A,Anterior,0,12,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/89-A,Posterior,0,12,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/89-A,Premolar,0,8,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/89-B,Anterior,0,12,0,28.4213341,0.75,Homo sapiens,Alaska
AMNH99.1/89-B,Posterior,0,12,0,28.4213341,0.75,Homo sapiens,Alaska
AMNH99.1/89-B,Premolar,0,8,0,28.4213341,0.75,Homo sapiens,Alaska
AMNH99.1/90,Anterior,3,12,0.25,55,0.75,Homo sapiens,Alaska
AMNH99.1/90,Posterior,6,10,0.6,55,0.75,Homo sapiens,Alaska
AMNH99.1/90,Premolar,3,8,0.375,55,0.75,Homo sapiens,Alaska
AMNH99.1/91-A,Anterior,4,12,0.333333333333333,31.9585448,0.75,Homo sapiens,Alaska
AMNH99.1/91-A,Posterior,6,12,0.5,31.9585448,0.75,Homo sapiens,Alaska
AMNH99.1/91-A,Premolar,1,8,0.125,31.9585448,0.75,Homo sapiens,Alaska
AMNH99.1/91-B,Anterior,1,12,0.083333333333333,50.8236683,0.5,Homo sapiens,Alaska
AMNH99.1/91-B,Posterior,7,10,0.7,50.8236683,0.5,Homo sapiens,Alaska
AMNH99.1/91-B,Premolar,1,8,0.125,50.8236683,0.5,Homo sapiens,Alaska
AMNH99.1/94,Anterior,0,12,0,34.3166852,0.25,Homo sapiens,Alaska
AMNH99.1/94,Posterior,0,12,0,34.3166852,0.25,Homo sapiens,Alaska
AMNH99.1/94,Premolar,0,8,0,34.3166852,0.25,Homo sapiens,Alaska
AMNH99.1/96-A,Anterior,0,12,0,37.8538959,0.75,Homo sapiens,Alaska
AMNH99.1/96-A,Posterior,0,12,0,37.8538959,0.75,Homo sapiens,Alaska
AMNH99.1/96-A,Premolar,0,8,0,37.8538959,0.75,Homo sapiens,Alaska
AMNH99.1/97,Anterior,4,12,0.333333333333333,36.6748257,0.75,Homo sapiens,Alaska
AMNH99.1/97,Posterior,3,10,0.3,36.6748257,0.75,Homo sapiens,Alaska
AMNH99.1/97,Premolar,1,8,0.125,36.6748257,0.75,Homo sapiens,Alaska
AMNH99.1/98,Anterior,0,12,0,30.7794746,0.75,Homo sapiens,Alaska
AMNH99.1/98,Posterior,1,12,0.083333333333333,30.7794746,0.75,Homo sapiens,Alaska
AMNH99.1/98,Premolar,1,8,0.125,30.7794746,0.75,Homo sapiens,Alaska
AMNH99.1/99,Anterior,0,12,0,31.9585448,0.25,Homo sapiens,Alaska
AMNH99.1/99,Posterior,0,12,0,31.9585448,0.25,Homo sapiens,Alaska
AMNH99.1/99,Premolar,0,8,0,31.9585448,0.25,Homo sapiens,Alaska
BM1868.4.16.2,Anterior,0,12,0,12.47378,1,Pongo,Borneo
BM1868.4.16.2,Posterior,0,12,0,12.47378,1,Pongo,Borneo
BM1868.4.16.2,Premolar,0,8,0,12.47378,1,Pongo,Borneo
BM1884.10.30.1,Anterior,0,6,0,13.686453,1,Pongo,Borneo
BM1884.10.30.1,Posterior,0,6,0,13.686453,1,Pongo,Borneo
BM1884.10.30.1,Premolar,0,4,0,13.686453,1,Pongo,Borneo
BM1884.10.30.2,Anterior,2,12,0.166666666666667,13.686453,1,Pongo,Borneo
BM1884.10.30.2,Posterior,0,12,0,13.686453,1,Pongo,Borneo
BM1884.10.30.2,Premolar,0,8,0,13.686453,1,Pongo,Borneo
BM1886.12.20.10,Anterior,0,12,0,14.1715222,1,Pongo,Borneo
BM1886.12.20.10,Posterior,0,12,0,14.1715222,1,Pongo,Borneo
BM1886.12.20.10,Premolar,0,8,0,14.1715222,1,Pongo,Borneo
BM1898.2.28.11,Anterior,0,12,0,13.9289876,1,Pongo,Borneo
BM1898.2.28.11,Posterior,0,12,0,13.9289876,1,Pongo,Borneo
BM1898.2.28.11,Premolar,0,8,0,13.9289876,1,Pongo,Borneo
BM1899.11.6.1,Anterior,0,12,0,17.1217143,0,Papio,Arabia
BM1899.11.6.1,Posterior,0,12,0,17.1217143,0,Papio,Arabia
BM1899.11.6.1,Premolar,0,8,0,17.1217143,0,Papio,Arabia
BM1899.6.10.2,Anterior,0,12,0,18.5922731,1,Papio,East Africa
BM1899.6.10.2,Posterior,0,12,0,18.5922731,1,Papio,East Africa
BM1899.6.10.2,Premolar,0,8,0,18.5922731,1,Papio,East Africa
BM1899.7.8.1,Anterior,0,12,0,23.0253446,1,Papio,East Africa
BM1899.7.8.1,Posterior,0,12,0,23.0253446,1,Papio,East Africa
BM1899.7.8.1,Premolar,0,8,0,23.0253446,1,Papio,East Africa
BM1900.3.18.1,Anterior,0,12,0,18.5922731,1,Papio,East Africa
BM1900.3.18.1,Posterior,0,12,0,18.5922731,1,Papio,East Africa
BM1900.3.18.1,Premolar,0,8,0,18.5922731,1,Papio,East Africa
BM1900.6.28.1,Anterior,0,12,0,11.454619,1,Papio,Arabia
BM1900.6.28.1,Posterior,0,12,0,11.454619,1,Papio,Arabia
BM1900.6.28.1,Premolar,0,8,0,11.454619,1,Papio,Arabia
BM1901.2.13.1,Anterior,0,12,0,18.9952796,1,Papio,West Africa
BM1901.2.13.1,Posterior,0,12,0,18.9952796,1,Papio,West Africa
BM1901.2.13.1,Premolar,0,8,0,18.9952796,1,Papio,West Africa
BM1901.8.9.23,Anterior,0,12,0,18.5922731,0,Papio,East Africa
BM1901.8.9.23,Posterior,0,12,0,18.5922731,0,Papio,East Africa
BM1901.8.9.23,Premolar,0,8,0,18.5922731,0,Papio,East Africa
BM1902.11.22.1,Anterior,0,12,0,12.485,1,Papio,Arabia
BM1902.11.22.1,Posterior,0,12,0,12.485,1,Papio,Arabia
BM1902.11.22.1,Premolar,0,8,0,12.485,1,Papio,Arabia
BM1902.9.2.1,Anterior,0,12,0,19.8012926,1,Papio,East Africa
BM1902.9.2.1,Posterior,0,12,0,19.8012926,1,Papio,East Africa
BM1902.9.2.1,Premolar,0,8,0,19.8012926,1,Papio,East Africa
BM1902.9.9.3,Anterior,0,12,0,22.6223381,1,Papio,East Africa
BM1902.9.9.3,Posterior,0,9,0,22.6223381,1,Papio,East Africa
BM1902.9.9.3,Premolar,0,8,0,22.6223381,1,Papio,East Africa
BM1904.11.5.2,Anterior,0,12,0,21.4133186,1,Papio,East Africa
BM1904.11.5.2,Posterior,0,12,0,21.4133186,1,Papio,East Africa
BM1904.11.5.2,Premolar,0,8,0,21.4133186,1,Papio,East Africa
BM1904.8.2.1,Anterior,0,12,0,12.485,1,Papio,Arabia
BM1904.8.2.1,Posterior,0,12,0,12.485,1,Papio,Arabia
BM1904.8.2.1,Premolar,0,8,0,12.485,1,Papio,Arabia
BM1904.8.2.3,Anterior,0,12,0,17.1217143,1,Papio,East Africa
BM1904.8.2.3,Posterior,0,12,0,17.1217143,1,Papio,East Africa
BM1904.8.2.3,Premolar,0,8,0,17.1217143,1,Papio,East Africa
BM1905.5.10.1,Anterior,0,12,0,21.8163251,1,Papio,West Africa
BM1905.5.10.1,Posterior,0,12,0,21.8163251,1,Papio,West Africa
BM1905.5.10.1,Premolar,0,8,0,21.8163251,1,Papio,West Africa
BM1906.11.1.6,Anterior,0,12,0,20.2042991,1,Papio,East Africa
BM1906.11.1.6,Posterior,0,12,0,20.2042991,1,Papio,East Africa
BM1906.11.1.6,Premolar,0,8,0,20.2042991,1,Papio,East Africa
BM1907.7.8.11,Anterior,0,12,0,19.8012926,1,Papio,Central Africa
BM1907.7.8.11,Posterior,0,12,0,19.8012926,1,Papio,Central Africa
BM1907.7.8.11,Premolar,0,8,0,19.8012926,1,Papio,Central Africa
BM1908.7.17.1,Anterior,0,6,0,16.5968682,1,Pongo,Borneo
BM1908.7.17.1,Posterior,0,6,0,16.5968682,1,Pongo,Borneo
BM1908.7.17.1,Premolar,0,4,0,16.5968682,1,Pongo,Borneo
BM1908.8.9.41,Anterior,0,6,0,19.3982861,1,Papio,East Africa
BM1908.8.9.41,Posterior,0,6,0,19.3982861,1,Papio,East Africa
BM1908.8.9.41,Premolar,0,4,0,19.3982861,1,Papio,East Africa
BM1908.8.9.42,Anterior,0,12,0,23.8313576,0,Papio,East Africa
BM1908.8.9.42,Posterior,0,12,0,23.8313576,0,Papio,East Africa
BM1908.8.9.42,Premolar,0,8,0,23.8313576,0,Papio,East Africa
BM1909.6.11,Anterior,0,12,0,14.0305714,1,Papio,East Africa
BM1909.6.11,Posterior,0,12,0,14.0305714,1,Papio,East Africa
BM1909.6.11,Premolar,0,8,0,14.0305714,1,Papio,East Africa
BM1910.10.3.1,Anterior,0,12,0,13.0001905,1,Papio,East Africa
BM1910.10.3.1,Posterior,0,9,0,13.0001905,1,Papio,East Africa
BM1910.10.3.1,Premolar,0,7,0,13.0001905,1,Papio,East Africa
BM1911.12.1.1,Anterior,0,12,0,18.1892666,1,Papio,East Africa
BM1911.12.1.1,Posterior,0,12,0,18.1892666,1,Papio,East Africa
BM1911.12.1.1,Premolar,0,8,0,18.1892666,1,Papio,East Africa
BM1913.10.18.2,Anterior,0,12,0,19.3982861,1,Papio,East Africa
BM1913.10.18.2,Posterior,0,12,0,19.3982861,1,Papio,East Africa
BM1913.10.18.2,Premolar,1,8,0.125,19.3982861,1,Papio,East Africa
BM1913.10.18.3,Anterior,0,6,0,24.2343641,1,Papio,East Africa
BM1913.10.18.3,Posterior,0,6,0,24.2343641,1,Papio,East Africa
BM1913.10.18.3,Premolar,0,4,0,24.2343641,1,Papio,East Africa
BM1914.3.8.2,Anterior,0,12,0,26.6524031,0,Papio,East Africa
BM1914.3.8.2,Posterior,0,12,0,26.6524031,0,Papio,East Africa
BM1914.3.8.2,Premolar,0,8,0,26.6524031,0,Papio,East Africa
BM1918.11.8.1,Anterior,0,6,0,22.6223381,1,Papio,East Africa
BM1918.11.8.1,Posterior,0,6,0,22.6223381,1,Papio,East Africa
BM1918.11.8.1,Premolar,0,4,0,22.6223381,1,Papio,East Africa
BM1922.12.19.6,Anterior,0,12,0,18.1892666,1,Papio,Central Africa
BM1922.12.19.6,Posterior,0,12,0,18.1892666,1,Papio,Central Africa
BM1922.12.19.6,Premolar,0,8,0,18.1892666,1,Papio,Central Africa
BM1923.3.4.3,Anterior,0,12,0,28.2644291,0,Papio,East Africa
BM1923.3.4.3,Posterior,0,12,0,28.2644291,0,Papio,East Africa
BM1923.3.4.3,Premolar,0,8,0,28.2644291,0,Papio,East Africa
BM1924.2.25.1,Anterior,0,12,0,20.6073056,1,Papio,East Africa
BM1924.2.25.1,Posterior,0,12,0,20.6073056,1,Papio,East Africa
BM1924.2.25.1,Premolar,0,8,0,20.6073056,1,Papio,East Africa
BM1924.8.6.15,Anterior,0,12,0,19.3982861,1,Papio,West Africa
BM1924.8.6.15,Posterior,0,12,0,19.3982861,1,Papio,West Africa
BM1924.8.6.15,Premolar,0,8,0,19.3982861,1,Papio,West Africa
BM1924.8.6.16,Anterior,0,12,0,24.2343641,0,Papio,West Africa
BM1924.8.6.16,Posterior,0,12,0,24.2343641,0,Papio,West Africa
BM1924.8.6.16,Premolar,0,8,0,24.2343641,0,Papio,West Africa
BM1925.5.12.1,Anterior,0,12,0,21.8163251,1,Papio,West Africa
BM1925.5.12.1,Posterior,0,12,0,21.8163251,1,Papio,West Africa
BM1925.5.12.1,Premolar,0,8,0,21.8163251,1,Papio,West Africa
BM1927.8.14.1,Anterior,0,6,0,16.0913333,0,Papio,East Africa
BM1927.8.14.1,Posterior,0,6,0,16.0913333,0,Papio,East Africa
BM1927.8.14.1,Premolar,0,4,0,16.0913333,0,Papio,East Africa
BM1930.12.1.2,Anterior,0,12,0,20.2042991,0,Papio,East Africa
BM1930.12.1.2,Posterior,0,12,0,20.2042991,0,Papio,East Africa
BM1930.12.1.2,Premolar,0,8,0,20.2042991,0,Papio,East Africa
BM1931.4.1.1,Anterior,0,12,0,19.3982861,1,Papio,East Africa
BM1931.4.1.1,Posterior,0,12,0,19.3982861,1,Papio,East Africa
BM1931.4.1.1,Premolar,0,8,0,19.3982861,1,Papio,East Africa
BM1932.7.6.1,Anterior,0,12,0,13.515381,1,Papio,East Africa
BM1932.7.6.1,Posterior,0,12,0,13.515381,1,Papio,East Africa
BM1932.7.6.1,Premolar,0,8,0,13.515381,1,Papio,East Africa
BM1934.11.20.1,Anterior,0,12,0,18.5922731,1,Papio,East Africa
BM1934.11.20.1,Posterior,0,12,0,18.5922731,1,Papio,East Africa
BM1934.11.20.1,Premolar,0,8,0,18.5922731,1,Papio,East Africa
BM1935.10.22.24,Anterior,0,6,0,21.0103121,0,Papio,West Africa
BM1935.10.22.24,Posterior,0,6,0,21.0103121,0,Papio,West Africa
BM1935.10.22.24,Premolar,0,4,0,21.0103121,0,Papio,West Africa
BM1935.2.14.1,Anterior,0,12,0,19.3982861,1,Papio,East Africa
BM1935.2.14.1,Posterior,0,12,0,19.3982861,1,Papio,East Africa
BM1935.2.14.1,Premolar,0,8,0,19.3982861,1,Papio,East Africa
BM1936.12.28.1,Anterior,0,12,0,18.5922731,1,Papio,East Africa
BM1936.12.28.1,Posterior,0,12,0,18.5922731,1,Papio,East Africa
BM1936.12.28.1,Premolar,0,8,0,18.5922731,1,Papio,East Africa
BM1936.12.28.2,Anterior,0,12,0,18.5922731,1,Papio,East Africa
BM1936.12.28.2,Posterior,0,12,0,18.5922731,1,Papio,East Africa
BM1936.12.28.2,Premolar,0,8,0,18.5922731,1,Papio,East Africa
BM1938.7.17.1,Anterior,1,12,0.083333333333333,32.6684551,1,Papio,Central Africa
BM1938.7.17.1,Posterior,0,12,0,32.6684551,1,Papio,Central Africa
BM1938.7.17.1,Premolar,0,8,0,32.6684551,1,Papio,Central Africa
BM1939.1005,Anterior,0,6,0,14.1715222,1,Pongo,Borneo
BM1939.1005,Posterior,0,6,0,14.1715222,1,Pongo,Borneo
BM1939.1005,Premolar,0,4,0,14.1715222,1,Pongo,Borneo
BM1939.1006,Anterior,0,6,0,11.2611071,1,Pongo,Borneo
BM1939.1006,Posterior,0,6,0,11.2611071,1,Pongo,Borneo
BM1939.1006,Premolar,0,4,0,11.2611071,1,Pongo,Borneo
BM1939.1007,Anterior,0,12,0,9.80589949,0,Pongo,Borneo
BM1939.1007,Posterior,0,12,0,9.80589949,0,Pongo,Borneo
BM1939.1007,Premolar,0,8,0,9.80589949,0,Pongo,Borneo
BM1939.1008,Anterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1939.1008,Posterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1939.1008,Premolar,0,8,0,11.2611071,0,Pongo,Borneo
BM1939.1021,Anterior,0,12,0,20.6073056,1,Papio,West Africa
BM1939.1021,Posterior,0,12,0,20.6073056,1,Papio,West Africa
BM1939.1021,Premolar,0,8,0,20.6073056,1,Papio,West Africa
BM1962.25,Anterior,0,12,0,19.8012926,0,Papio,East Africa
BM1962.25,Posterior,0,12,0,19.8012926,0,Papio,East Africa
BM1962.25,Premolar,0,8,0,19.8012926,0,Papio,East Africa
BM1964.2174,Anterior,0,12,0,19.3982861,0,Papio,East Africa
BM1964.2174,Posterior,0,12,0,19.3982861,0,Papio,East Africa
BM1964.2174,Premolar,0,8,0,19.3982861,0,Papio,East Africa
BM1971.2353,Anterior,0,6,0,22.6223381,1,Papio,West Africa
BM1971.2353,Posterior,0,6,0,22.6223381,1,Papio,West Africa
BM1971.2353,Premolar,0,4,0,22.6223381,1,Papio,West Africa
BM1971.2354,Anterior,0,7,0,21.0103121,1,Papio,West Africa
BM1971.2354,Posterior,0,6,0,21.0103121,1,Papio,West Africa
BM1971.2354,Premolar,0,4,0,21.0103121,1,Papio,West Africa
BM1976.1408,Anterior,0,12,0,16.3543336,0,Pongo,Borneo
BM1976.1408,Posterior,0,13,0,16.3543336,0,Pongo,Borneo
BM1976.1408,Premolar,0,8,0,16.3543336,0,Pongo,Borneo
BM1976.1409,Anterior,0,12,0,13.9289876,0,Pongo,Borneo
BM1976.1409,Posterior,0,12,0,13.9289876,0,Pongo,Borneo
BM1976.1409,Premolar,0,8,0,13.9289876,0,Pongo,Borneo
BM1976.1415,Anterior,0,12,0,12.2312454,0,Pongo,Borneo
BM1976.1415,Posterior,0,12,0,12.2312454,0,Pongo,Borneo
BM1976.1415,Premolar,0,8,0,12.2312454,0,Pongo,Borneo
BM1976.1416,Anterior,0,12,0,11.5036417,0,Pongo,Borneo
BM1976.1416,Posterior,0,11,0,11.5036417,0,Pongo,Borneo
BM1976.1416,Premolar,0,8,0,11.5036417,0,Pongo,Borneo
BM1976.1417,Anterior,0,6,0,11.2611071,0,Pongo,Borneo
BM1976.1417,Posterior,0,7,0,11.2611071,0,Pongo,Borneo
BM1976.1417,Premolar,0,3,0,11.2611071,0,Pongo,Borneo
BM1976.1418,Anterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1418,Posterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1418,Premolar,0,8,0,11.2611071,0,Pongo,Borneo
BM1976.1419,Anterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1419,Posterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1419,Premolar,0,8,0,11.2611071,0,Pongo,Borneo
BM1976.1420,Anterior,0,10,0,11.0185725,0,Pongo,Borneo
BM1976.1420,Posterior,0,12,0,11.0185725,0,Pongo,Borneo
BM1976.1420,Premolar,0,8,0,11.0185725,0,Pongo,Borneo
BM1976.1421,Anterior,0,12,0,10.7760379,0,Pongo,Borneo
BM1976.1421,Posterior,0,12,0,10.7760379,0,Pongo,Borneo
BM1976.1421,Premolar,0,8,0,10.7760379,0,Pongo,Borneo
BM1976.1422,Anterior,0,12,0,11.7461763,0,Pongo,Borneo
BM1976.1422,Posterior,0,12,0,11.7461763,0,Pongo,Borneo
BM1976.1422,Premolar,0,8,0,11.7461763,0,Pongo,Borneo
BM1976.1423,Anterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1423,Posterior,0,12,0,11.2611071,0,Pongo,Borneo
BM1976.1423,Premolar,0,8,0,11.2611071,0,Pongo,Borneo
BM1976.1424,Anterior,0,12,0,13.686453,1,Pongo,Borneo
BM1976.1424,Posterior,0,12,0,13.686453,1,Pongo,Borneo
BM1976.1424,Premolar,0,8,0,13.686453,1,Pongo,Borneo
BM1976.1425,Anterior,0,12,0,11.5036417,1,Pongo,Borneo
BM1976.1425,Posterior,0,13,0,11.5036417,1,Pongo,Borneo
BM1976.1425,Premolar,0,8,0,11.5036417,1,Pongo,Borneo
BM1976.1426,Anterior,0,12,0,11.9887109,1,Pongo,Borneo
BM1976.1426,Posterior,0,12,0,11.9887109,1,Pongo,Borneo
BM1976.1426,Premolar,0,8,0,11.9887109,1,Pongo,Borneo
BM1976.1427,Anterior,0,12,0,14.4140568,0,Pongo,Borneo
BM1976.1427,Posterior,0,12,0,14.4140568,0,Pongo,Borneo
BM1976.1427,Premolar,0,8,0,14.4140568,0,Pongo,Borneo
BM1976.1428,Anterior,0,12,0,12.7163146,1,Pongo,Borneo
BM1976.1428,Posterior,0,12,0,12.7163146,1,Pongo,Borneo
BM1976.1428,Premolar,0,8,0,12.7163146,1,Pongo,Borneo
