"Item_Number","Set_Name","Year","Theme","Ages","Pieces","Unique_Pieces","Price","Amazon_Price","Pages","Minifigures","Packaging","Weight","Size","Availability"
41356,"Stephanie's Heart Box",2019,"Friends","6+",85,36,7.99,14.99,32,1,NA,130,"Small",NA
41384,"Andrea's Summer Heart Box",2019,"Friends","6+",83,46,7.99,14.99,36,1,"Other",NA,"Small","Retail"
70645,"Cole - Dragon Master",2018,"NINJAGO","8-14",92,54,14.99,14.99,48,1,"Box",NA,"Small","Retail"
70665,"The Samurai Mech",2019,"NINJAGO","7+",154,71,14.99,14.99,48,3,"Box",160,"Small","Retail"
70824,"Introducing Queen Watevra Wa'Nabi",2019,"THE LEGO MOVIE 2","6+",115,82,19.99,14.99,48,4,"Box",240,"Small","Retail"
75890,"Ferrari F40 Competizione",2019,"Speed Champions","7+",198,72,14.99,14.99,56,1,"Box",220,"Small","Retail"
31092,"Helicopter Adventure",2019,"Creator 3-in-1","6+",114,68,9.99,15.04,92,0,"Box",190,"Small","Retail"
70681,"Spinjitzu Slam - Lloyd",2019,"NINJAGO","7+",70,34,9.99,15.28,44,1,"Box",NA,"Small","Retail"
41408,"Mia's Play Cube - Cinema",2020,"Friends","6+",37,31,9.99,15.32,5,1,"Box",NA,"Small","Retail"
71370,"Fire Mario Power-Up Pack ",2020,"LEGO Super Mario","6+",11,9,9.99,15.56,NA,0,"Box",NA,"Small","Retail"
70680,"Monastery Training",2019,"NINJAGO","6+",122,65,9.99,15.64,40,2,"Box",130,"Small","Retail"
70848,"Systar Party Crew",2019,"THE LEGO MOVIE 2","7+",196,104,19.99,15.66,80,2,"Box",NA,"Small","Retail"
41453,"Party Time",2018,"Unikitty!","6-12",214,119,19.99,15.95,80,4,"Box",270,"Small","Retail"
43174,"Mulan's Storybook Adventures",2020,"Disney","5+",124,72,19.99,15.99,3,3,"Box",NA,"Small","Retail"
10894,"Toy Story Train",2019,"Disney","2+",21,19,19.99,15.99,8,2,"Box",NA,"Small","Retail"
10713,"Creative Suitcase",2018,"Classic","4-99",213,89,19.99,15.99,36,0,"Plastic box",840,"Small","Retail"
10771,"Carnival Thrill Coaster",2019,"Disney","4+",98,56,19.99,15.99,44,2,"Box",NA,"Small","Retail"
75945,"Expecto Patronum",2019,"Harry Potter","7+",121,55,19.99,15.99,48,3,"Box",NA,"Small","Retail"
76147,"Vulture's Trucker Robbery",2020,"Marvel","4+",93,62,19.99,15.99,48,3,"Box",NA,"Small","Retail"
76123,"Captain America: Outriders Attack",2019,"Marvel","6+",167,75,19.99,15.99,52,3,"Box",NA,"Small","Retail"
70672,"Cole's Dirt Bike",2019,"NINJAGO","8+",212,97,19.99,15.99,56,3,"Box",NA,"Small","Retail"
75965,"The Rise of Voldemort",2019,"Harry Potter","7+",184,102,19.99,15.99,56,6,"Box",NA,"Small","Retail"
41361,"Mia's Foal Stable ",2019,"Friends","4+",118,66,19.99,15.99,64,1,NA,290,"Small",NA
70427,"Welcome to the Hidden Side",2020,"Hidden Side","7+",189,103,19.99,15.99,68,4,"Box",NA,"Small","Retail"
21140,"The Chicken Coop",2018,"Minecraft","7-14",198,90,19.99,15.99,72,1,"Box",360,"Small","Retail"
21151,"The End Battle",2019,"Minecraft","7+",222,91,19.99,15.99,72,2,"Box",380,"Small","Retail"
60252,"Construction Bulldozer",2020,"City","4+",126,81,19.99,15.99,84,2,"Box",350,"Small","Retail"
76142,"Avengers Speeder Bike Attack",2020,"Marvel","6+",226,97,19.99,15.99,104,3,"Box",NA,"Small","Retail"
10859,"My First Ladybird",2018,"DUPLO","1½-3",6,5,4.99,16,9,0,"Box",NA,"Large","Retail"
10886,"My First Car Creations",2019,"DUPLO","1½+",34,31,19.99,16,10,0,NA,640,"Large",NA
60222,"Snow Groomer",2019,"City","6+",197,81,19.99,16,60,2,"Box",390,"Small","Retail"
41165,"Anna's Canoe Expedition",2019,"LEGO Frozen 2","4+",108,61,19.99,16,64,2,"Box",NA,"Small","Retail"
60221,"Diving Yacht",2019,"City","5+",148,81,19.99,16,64,2,"Box",340,"Small","Retail"
70823,"Emmet's Thricycle!",2019,"THE LEGO MOVIE 2","7+",174,100,14.99,16,84,1,"Box",250,"Small","Retail"
60220,"Garbage Truck",2019,"City","4+",90,52,19.99,16.36,40,2,"Box",310,"Small","Retail"
43175,"Anna and Elsa's Storybook Adventures",2020,"LEGO Frozen 2","5+",133,71,19.99,16.37,3,4,"Box",NA,"Small","Retail"
43176,"Ariel's Storybook Adventures",2020,"Disney","5+",105,61,19.99,16.37,3,3,"Box",NA,"Small","Retail"
43177,"Belle's Storybook Adventures",2020,"Disney","5+",111,71,19.99,16.37,3,5,"Box",NA,"Small","Retail"
41600,"Aquaman",2018,"BrickHeadz","10+",135,40,9.99,16.49,36,0,"Box",NA,"Small",NA
60171,"Mountain Fugitives",2018,"City","5-12",88,61,9.99,16.49,36,4,"Box",NA,"Small","Retail"
41158,"Jasmine's Petite Tower",2019,"Disney","5+",49,35,9.99,16.75,24,1,NA,90,"Small",NA
41251,"Poppy's Pod",2020,"Trolls World Tour","4+",103,70,19.99,16.82,68,1,"Box",NA,"Small","Retail"
41250,"Techno Reef Dance Party",2020,"Trolls World Tour","5+",173,85,19.99,16.82,72,1,"Box",NA,"Small","Retail"
21141,"The Zombie Cave",2018,"Minecraft","7-14",241,88,19.99,16.82,84,3,"Box",390,"Small","Retail"
41409,"Emma's Play Cube - Toy Store",2020,"Friends","6+",49,42,9.99,16.86,5,1,"Box",NA,"Small","Retail"
76092,"Mighty Micros: Batman vs. Harley Quinn",2018,NA,"5-12",86,54,9.99,16.94,7,2,"Box",NA,NA,"Retail"
41354,"Andrea's Heart Box",2019,"Friends","6+",84,38,7.99,16.95,32,1,NA,140,"Small",NA
60178,"Speed Record Car",2018,"City","5-12",78,47,9.99,16.98,40,1,"Box",NA,"Small","Retail"
70428,"Jack's Beach Buggy",2020,"Hidden Side","7+",170,98,19.99,16.99,56,3,"Box",NA,"Small","Retail"
21153,"The Wool Farm",2019,"Minecraft","7+",260,81,19.99,16.99,80,1,"Box",NA,"Small","Retail"
75269,"Duel on Mustafar ",2020,"Star Wars","7+",208,84,19.99,16.99,80,2,"Box",NA,"Small","Retail"
70826,"Rex's Rex-treme Offroader!",2019,"THE LEGO MOVIE 2","7+",236,109,29.99,16.99,132,2,"Box",440,"Small","Retail"
31103,"Rocket Truck",2020,"Creator 3-in-1","7+",198,90,19.99,16.99,148,0,"Box",NA,"Small","Retail"
75207,"Imperial Patrol Battle Pack",2018,"Star Wars","6-12",99,43,14.99,17.25,36,3,"Box",NA,"Small","Retail"
21158,"The Panda Nursery",2020,"Minecraft","7+",204,76,19.99,17.34,48,1,"Box",NA,"Small","Retail"
42091,"Police Pursuit",2019,"Technic","7+",120,39,19.99,17.35,114,0,"Box",290,"Small","Retail"
71373,"Builder Mario Power-Up Pack",2020,"LEGO Super Mario","6+",10,8,9.99,17.4,NA,0,"Box",NA,"Small","Retail"
70847,"Good Morning Sparkle Babies!",2019,"THE LEGO MOVIE 2","6+",50,44,9.99,17.69,32,4,"Box",NA,"Small","Retail"
75549,"Unstoppable Bike Chase",2020,"Minions","6+",136,79,19.99,17.79,60,3,"Box",NA,"Small","Retail"
60253,"Ice-Cream Truck",2020,"City","5+",200,112,19.99,17.79,100,2,"Box",370,"Small","Retail"
41355,"Emma's Heart Box",2019,"Friends","6+",85,38,7.99,17.81,32,1,NA,140,"Small",NA
41151,"Mulan's Training Day",2018,"Disney","5-12",104,62,14.99,17.9,36,1,"Box",NA,"Small","Retail"
10920,"Elsa and Olaf's Tea Party",2020,"DUPLO","2+",17,13,19.99,17.93,12,2,"Box",NA,"Large","Retail"
41402,"Olivia's Play Cube - Researcher",2020,"Friends","6+",40,34,9.99,17.97,5,1,"Box",NA,"Small","Retail"
41403,"Mia's Play Cube - Veterinarian",2020,"Friends","6+",40,32,9.99,17.97,5,1,"Box",NA,"Small","Retail"
41404,"Emma's Play Cube - Photographer",2020,"Friends","6+",36,31,9.99,17.97,5,1,"Box",NA,"Small","Retail"
11002,"Basic Brick Set ",2019,"Classic","4+",300,93,19.99,17.97,66,0,NA,440,"Small",NA
31090,"Underwater Robot",2019,"Creator 3-in-1","7+",207,81,19.99,17.97,140,0,"Box",360,"Small","Retail"
31089,"Sunset Track Racer",2019,"Creator 3-in-1","7+",221,81,19.99,17.97,144,0,"Box",380,"Small","Retail"
41390,"Andrea's Car & Stage",2020,"Friends","6+",240,116,19.99,17.98,68,2,"Box",NA,"Small","Retail"
10909,"Heart Box",2020,"DUPLO","1½+",80,39,19.99,17.99,2,0,"Box",NA,"Large","Retail"
10910,"Submarine Adventure",2019,"DUPLO","2+",24,22,19.99,17.99,8,2,"Box",NA,"Large","Retail"
10901,"Fire Truck",2019,"DUPLO","2+",21,16,19.99,17.99,10,2,"Box",450,"Large","Retail"
10873,"Minnie's Birthday Party",2018,"Disney","2-5",21,18,19.99,17.99,12,1,"Box",360,"Small","Retail"
10882,"Train Tracks",2018,"DUPLO","2-5",23,9,19.99,17.99,16,0,"Box",660,"Large","Retail"
70661,"Spinjitzu Zane",2019,"NINJAGO","7+",109,21,9.99,17.99,32,1,"Box",130,"Small","Retail"
41397,"Juice Truck",2020,"Friends","4+",103,75,19.99,17.99,52,2,"Box",NA,"Small","Retail"
71701,"Kai's Fire Dragon",2020,"NINJAGO","4+",81,48,19.99,17.99,60,2,"Box",NA,"Small","Retail"
60267,"Safari Off-Roader",2020,"City","5+",168,86,19.99,17.99,76,2,"Box",340,"Small","Retail"
41391,"Heartlake City Hair Salon",2020,"Friends","6+",235,138,19.99,17.99,84,2,"Box",NA,"Small","Retail"
75265,"T-16 Skyhopper vs Bantha Microfighters",2020,"Star Wars","6+",198,100,19.99,17.99,84,2,"Box",NA,"Small","Retail"
71707,"Kai's Mech Jet",2020,"NINJAGO","7+",217,94,19.99,17.99,116,2,"Box",NA,"Small","Retail"
60205,"Tracks",2018,"City","5-12",20,3,19.99,17.99,NA,0,"Box",320,"Small","Retail"
75223,"Naboo Starfighter Microfighter",2019,"Star Wars","6+",62,42,9.99,18.47,36,1,"Box",80,"Small","Retail"
70683,"Spinjitzu Slam - Zane",2019,"NINJAGO","7+",63,37,9.99,18.47,40,1,"Box",NA,"Small","Retail"
41401,"Stephanie's Play Cube - Baker",2020,"Friends","6+",44,37,9.99,18.54,5,1,"Box",NA,"Small","Retail"
41358,"Mia's Heart Box",2019,"Friends","6+",83,38,7.99,18.64,32,1,NA,140,"Small",NA
41407,"Olivia's Play Cube - Sweet Shop",2020,"Friends","6+",47,40,9.99,18.65,5,1,"Box",NA,"Small","Retail"
60218,"Desert Rally Racer",2019,"City","5+",75,45,9.99,18.81,36,1,"Box",160,"Small","Retail"
42104,"Race Truck",2020,"Technic","7+",227,59,19.99,18.84,35,0,"Box",NA,"Small","Retail"
42084,"Hook Loader",2018,"Technic","7-14",176,48,14.99,18.88,104,0,"Box",270,"Small","Retail"
41400,"Andrea's Play Cube - Singer",2020,"Friends","6+",49,32,9.99,18.93,5,1,"Box",NA,"Small","Retail"
41163,"Rapunzel's Small Tower",2019,"Disney","5+",44,28,9.99,18.94,24,1,NA,90,"Small",NA
41363,"Mia's Forest Adventures ",2019,"Friends","6+",134,77,14.99,18.95,44,1,NA,150,"Small",NA
76896,"Nissan GT-R NISMO",2020,"Speed Champions","7+",298,101,19.99,18.95,80,1,"Box",NA,"Small","Retail"
41601,"Cyborg",2018,"BrickHeadz","10+",108,48,9.99,18.99,32,0,"Box",NA,"Small",NA
70637,"Cole - Spinjitzu Master",2018,"NINJAGO","6-14",73,40,9.99,18.99,32,1,"Box",NA,"Small","Retail"
70648,"Zane - Dragon Master",2018,"NINJAGO","8-14",92,54,14.99,18.99,48,1,"Box",NA,"Small","Retail"
31072,"Extreme Engines",2018,"Creator 3-in-1","6-12",109,53,9.99,18.99,76,0,"Box",190,"Small","Retail"
76090,"Mighty Micros: Star-Lord vs. Nebula",2018,"Marvel","5-12",86,45,9.99,19.49,7,2,"Box",NA,"Small","Retail"
10885,"My First Fun Puzzle",2019,"DUPLO","1½+",15,15,19.99,19.55,9,0,NA,NA,"Large",NA
31102,"Fire Dragon",2020,"Creator 3-in-1","7+",234,80,19.99,19.59,132,0,"Box",NA,"Small","Retail"
70636,"Zane - Spinjitzu Master",2018,"NINJAGO","6-14",69,38,9.99,19.65,32,1,"Box",NA,"Small","Retail"
41405,"Andrea's Play Cube - Pet Shop",2020,"Friends","6+",40,33,9.99,19.8,5,1,"Box",NA,"Small","Retail"
41287,"Bubbles Playground Showdown",2018,"Powerpuff Girls","6-12",144,92,19.99,19.84,48,3,"Box",230,"Small","Retail"
70841,"Benny's Space Squad",2019,"THE LEGO MOVIE 2","5+",68,53,9.99,19.88,32,5,"Box",90,"Small","Retail"
31071,"Drone Explorer",2018,"Creator 3-in-1","6-12",109,56,9.99,19.88,80,0,"Box",170,"Small","Retail"
70671,"Lloyd's Journey",2019,"NINJAGO","6+",81,50,14.99,19.94,36,2,"Box",NA,"Small","Retail"
41383,"Olivia's Hamster Playground",2019,"Friends","6+",81,52,9.99,19.94,40,1,NA,100,"Small",NA
41907,"Desk Organiser",2020,"DOTS","6+",405,44,19.99,19.95,4,0,"Plastic canister",NA,"Small","Retail"
41617,"Elsa",2018,"BrickHeadz","10+",130,48,9.99,19.95,44,0,"Box",NA,"Small","Retail"
75268,"Snowspeeder",2020,"Star Wars","4+",91,64,19.99,19.95,56,2,"Box",NA,"Small","Retail"
75966,"Hogwarts Room of Requirement",2020,"Harry Potter","7+",193,90,19.99,19.95,60,4,"Box",NA,"Small","Retail"
75939,"Dr. Wu's Lab: Baby Dinosaurs Breakout",2020,"Jurassic World","6+",164,100,19.99,19.95,64,2,"Box",NA,"Small","Retail"
41426,"Heartlake City Park Café",2020,"Friends","6+",224,117,19.99,19.95,72,2,"Box",NA,"Small","Retail"
76148,"Spider-Man vs. Doc Ock",2020,"Marvel","6+",234,80,19.99,19.95,72,3,"Box",NA,"Small","Retail"
76895,"Ferrari F8 Tributo",2020,"Speed Champions","7+",275,92,19.99,19.95,72,1,"Box",320,"Small","Retail"
76897,"1985 Audi Sport Quattro S1",2020,"Speed Champions","7+",250,102,19.99,19.95,76,1,"Box",NA,"Small","Retail"
11008,"Bricks and Houses",2020,"Classic","4+",270,121,19.99,19.95,77,0,"Box",NA,"Small","Retail"
75317,"The Mandalorian & The Child",2020,"Star Wars","10+",295,123,19.99,19.95,88,0,"Box",NA,"Small","Retail"
71363,"Desert Pokey",2020,"LEGO Super Mario","6+",180,70,19.99,19.95,NA,2,"Box",NA,"Small","Retail"
70821,"Emmet and Benny's 'Build and Fix' Workshop!",2019,"THE LEGO MOVIE 2","4+",117,73,19.99,19.98,48,2,"Box",340,"Small","Retail"
41915,"Jewellery Box",2020,"DOTS","6+",374,35,19.99,19.99,3,0,"Plastic canister",NA,"Small","Retail"
41906,"Pineapple Pencil Holder",2020,"DOTS","6+",351,39,19.99,19.99,4,0,"Plastic canister",NA,"Small","Retail"
10767,"Duke Caboom's Stunt Show",2019,"Disney","4+",120,62,19.99,19.99,48,2,"Box",NA,"Small","Retail"
70644,"Golden Dragon Master",2018,"NINJAGO","8-14",92,54,14.99,19.99,48,1,"Box",NA,"Small","Retail"
75951,"Grindelwald's Escape",2018,NA,"7-14",132,68,19.99,19.99,48,2,"Box",240,NA,"Retail"
70433,"J.B.'s Submarine",2020,"Hidden Side","7+",224,120,19.99,19.99,64,3,"Box",NA,"Small","Retail"
70836,"Battle-Ready Batman and MetalBeard",2019,"Batman","6+",168,98,19.99,19.99,64,2,"Box",240,"Small","Retail"
41421,"Baby Elephant Jungle Rescue",2020,"Friends","6+",203,111,19.99,19.99,68,2,"Box",NA,"Small","Retail"
42103,"Dragster",2020,"Technic","7+",225,68,19.99,19.99,80,0,"Box",NA,"Small","Retail"
75976,"Wrecking Ball",2019,"Overwatch","9+",227,78,19.99,19.99,84,1,"Box",NA,"Small","Retail"
42090,"Getaway Truck",2019,"Technic","7+",128,33,19.99,19.99,110,0,"Box",310,"Small","Retail"
71364,"Whomp's Lava Trouble",2020,"LEGO Super Mario","6+",133,56,19.99,19.99,NA,2,"Box",NA,"Small","Retail"
70647,"Kai - Dragon Master",2018,"NINJAGO","8-14",92,53,14.99,20.32,48,1,"Box",NA,"Small","Retail"
